,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
2123,2852,1599000,4,4,351 Sammon Ave,M4J 2A2,Toronto,43.6872,-79.3368,0
2124,2853,1769990,5,2,376 Third Line,L6L 4G2,Oakville,43.4032,-79.7186,1
2125,2855,498000,5,2,277 Joseph St,N7L 3K2,Chatham,42.4209,-82.1993,3
2126,2856,839999,4,3,6198 Delaware St,L2G 2B7,Niagara Falls ,43.0696,-79.0818,1
2127,2859,14888000,6,11,4490 Henderson Rd,L9E 1H9,Halton,43.5168,-79.8829,0
2128,2860,2524999,7,6,239 Melrose St,M8Y 1B7,Etobicoke,43.6325,-79.4939,3
2129,2863,499000,2,2,8 Talbot St 205,M6N,York,43.6748,-79.4839,2
2130,2864,489999,1,1,4198 Dundas St 305,L7M 0N6,Burlington,43.4342,-79.8701,3
2131,2865,459000,1,1,1377 Lakeshore Rd 504,L7S 1T7,Burlington,43.323,-79.8092,3
2132,2866,749900,1,1,1183 Dufferin St 109,M6H 4B5,Toronto,43.6655,-79.4378,2
2133,2867,828000,2,2,75 Canterbury Pl 2902,M2N 2N1,Willowdale,43.7673,-79.4111,2
2134,2868,1425000,2,2,900 Yonge St 904,M4Y 2H2,Toronto,43.6656,-79.383,2
2135,2871,639900,1,1,220 Victoria St 1308,P3C 1K3,Greater Sudbury ,46.5133,-81.0225,3
2136,2872,1999000,5,2,504290 Highway 89,L0N 1S1,Dufferin County,44.0317,-80.2068,3
2137,2874,630000,2,1,36 Forest Manor Rd 811,M2J 1M4,North York ,43.7801,-79.3479,1
2138,2877,759000,5,2,290 King St,L3B 3J3,Welland,42.9878,-79.2219,2
2139,2878,3500000,8,3,714 Fiddlers Green Rd,L9G 2J9,Ancaster,43.1836,-79.9902,3
2140,2879,1399000,3,2,6388 Cedar Springs Rd,L7P 0J1,Burlington,43.3806,-79.886,3
2141,2880,2750000,6,4,697 Lafontaine Rd,L4T 0A4,Mississauga,43.7139,-79.6434,1
2142,2881,3199000,4,9,2 Pine Heights Dr,L4H 4C3,Woodbridge,43.8432,-79.5644,0
2143,2883,1948000,4,1,140 Hillmount Ave,M6B 2H5,North York ,43.7081,-79.4479,1
2144,2886,1149000,3,3,610 Bullock Dr 807,L3R 2B3,Markham,43.8479,-79.3288,1
2145,2887,1199000,2,2,825 Church St 1107,M4W 2G8,Toronto,43.6827,-79.373,2
2146,2888,1299000,3,2,300 Front St 3712,K8N 2Z2,Belleville,44.1735,-77.3684,3
2147,2889,869900,3,3,226 Emery St,N6C 3R6,London,42.9582,-81.238,1
2148,2890,2699000,4,5,101 Rosshaven Cres,L4H 4C3,Woodbridge,43.8432,-79.5644,0
2149,2892,2289900,5,5,235 Hansard Dr,L4H 4C3,Woodbridge,43.8432,-79.5644,0
2150,2893,965900,2,3,400 The East Mall 307,M9B 3Z9,Etobicoke,43.6505,-79.5517,3
2151,2894,1590000,4,5,159 Boultbee Ave,M4J 3G4,Toronto,43.6872,-79.3368,0
2152,2895,1329000,4,4,32 Sparkle Dr,L2V 1A8,St. Catharines ,43.1142,-79.2035,0
2153,2897,523000,2,1,85 Emmett Ave 1106,M6M 2E6,York,43.6934,-79.4857,2
2154,2899,599000,2,2,1235 Richmond St 1310,N6G 2V4,London,43.0147,-81.3049,1
2155,2900,1300000,5,3,21 Watercliffe Rd,M9W 0C6,Etobicoke,43.7144,-79.5909,3
2156,2901,645900,2,2,681 Yonge St 522,M4Y 2B2,Toronto,43.6656,-79.383,2
2157,2902,599900,2,2,681 Yonge St 325,M4Y 2B2,Toronto,43.6656,-79.383,2
2158,2903,619900,2,2,681 Yonge St 223,M4Y 2B2,Toronto,43.6656,-79.383,2
2159,2905,1366990,3,2,1 Grandview Ave 2802,M4K 1E8,Toronto,43.6803,-79.3538,2
2160,2906,889000,2,1,28 Ted Rogers Way 904,M4Y 2J4,Toronto,43.6656,-79.383,2
2161,2907,1900000,3,3,470 Front St 2913,L1H 3M2,Oshawa,43.9721,-78.8837,1
