,Unnamed: 0,Address,Price,Beds,Baths
166,166,5 Amos Crt,1480000,4,3
167,167,252 Church St,2750000,4+2,7
168,168,227 Zokol Dr,1299000,4,4
169,169,9 Ray St,998000,3+2,4
170,170,4 Theobalds Circ,1950000,4+1,4
171,171,213 Douglas Rd,1680000,3+2,3
172,172,62 Rosario Dr,1198000,3,4
173,173,12 Queensborough Crt,1980000,4,3
174,174,228 Vivant St,899000,2+1,3
175,175,662 Duclos Point Rd,1999000,3+2,3
176,176,122 Viscount Dr,1388000,4,3
177,177,70 Douglas Rd,1999000,2,2
178,178,16 Haida Dr,899000,3,2
179,179,55 New Yorkton Ave,1388900,3+2,4
180,180,15 Houndtrail Dr,1299999,4+1,4
181,181,174 Wheeler Ave,1580000,3,3
182,182,104 Duke St,699000,2,1
183,183,7 Clinton Crt,899900,4,3
184,184,256 Pimlico Dr,1299900,4+3,5
185,185,282 Queensdale Ave,1199000,3+1,3
186,186,3 Weldon St,1199999,4,4
187,187,180 Drayton Ave,1318000,3,2
188,188,318 Rouge Highlands Dr,1150000,3+1,2
189,189,1315 Gull Crossing,1050000,4,4
190,190,12 Thackery Dr,998999,4,3
191,191,1011 Southport Dr,799000,3+1,4
192,192,61 Rubic Cres,1188800,4+2,5
193,193,3786 Lawrence Ave,1148000,3+3,2
194,194,151 Underwood Dr,1149000,4,3
195,195,44 Canongate Tr,1725000,4+3,5
196,196,809 Wolfberry Crt,749000,3,2
197,197,37 Keenlyside Lane,799990,3+1,4
198,198,1940 Brock Conc Rd 1 Rd,2499000,3,3
199,199,78 Sidney Rundle Ave,799990,4,3
200,200,85 Magpie Way,699900,3+1,4
201,201,19 Mcroberts Cres,1199000,4+1,4
202,202,378 Port Royal Tr,1499000,4+1,4
203,203,708 Carnegie Ave,699900,3+2,2
204,204,70 Taunton Rd,1680000,6,6
205,205,6 Wanstead Ave,1299000,2+2,2
206,206,91 Snowball Cres,999999,4+1,2
207,207,186 Bellamy Rd,849900,3,3
208,208,435 Wilson Rd,599000,3+1,2
209,209,642 Conlin Rd,1999900,4,3
210,210,13 Alma Ave,999999,3,2
211,211,8 Clairtrell Rd,1468000,3+1,4
212,212,6 Francine Dr,1699000,4+1,3
213,213,19 Daleena Dr,2698888,4,4
214,214,110 Hillhurst Blvd,2599000,3,3
215,215,24 Meadowglade Cres,1788800,4,2
216,216,73 Oriole Pkwy,3499000,5+1,4
217,217,10 Berkindale Dr,9500000,5+2,10
218,218,191 Glengarry Ave,2880000,4,4
219,219,284 Parkview Ave,2338800,3,1
220,220,215 Glenridge Ave 207,399900,2,1
221,221,8142 Costabile Dr 1,729900,2,4
222,222,150 Charlton Ave 3003,299900,1,1
223,223,55 Duke St,699900,2+1,2
224,224,15 Queen St 1315,410000,1,1
225,225,270 Melvin Ave 33,699900,3,2
226,226,60 George Butchart Dr 605,699000,2,2
227,227,310 Burnhamthorpe Rd 301,699000,2+1,2
228,228,17 Zorra St 307,599000,1+1,2
229,229,200 Veterans Dr 82,699999,3,3
230,230,3105 Queen Frederica Dr 801,449900,2,1
231,231,816 Lansdowne Ave 1203,699500,2+1,1
232,232,408 Browns Line 201,980000,2,2
233,233,70 Annie Craig Dr 313,799990,2,2
234,234,220 Burnhamthorpe Rd 1904,599990,2,2
235,235,70 Annie Craig Dr 203,799999,2,2
236,236,1380 Costigan Rd 92,839000,3,2
237,237,1000 Asleton Blvd 166,999900,4,3
238,238,234 Albion Rd 304,569999,3,2
239,239,70 Annie Craig Dr Th 102,1178000,2+1,3
240,240,58 Lakeside Terr 301,629000,2,2
241,241,9225 Jane St 905,699900,2,2
242,242,898 Portage Pkwy 5809,788000,2+1,2
243,243,3600 Highway 7 327,599999,1+1,1
244,244,9015 Leslie St Lph8,555880,2,2
245,245,7420 Bathurst St 1204,799000,2,2
246,246,898 Portage Pkwy 2011,550000,1,1
247,247,4064 Lawrence Ave 523,299000,2+1,1
248,248,2800 Midland Ave 26,799000,4,3
249,249,1460 Whites Rd 104,799000,2,3
250,250,1 Falaise Dr 106,399990,1,1
251,251,1460 Whites Rd 414,899000,2,3
252,252,104 Petra Way 2,629000,2,1
253,253,5 Massey Sq 1101,399900,1,1
254,254,115 Blue Jays Way,499900,0,1
255,255,100 Leeward Glwy 1807,499900,2,1
256,256,108 Finch Ave D23,849900,3+1,3
257,257,70 Queens Wharf Rd 3011,699900,1+1,1
258,258,492 Eglinton Ave 1202,1900000,3,3
259,259,8 Mercer St 601,649900,1+1,1
260,260,20 Bruyeres Mews 719,565000,1,1
261,261,11 Wellesley St 4410,579888,0,1
262,262,3237 Bayview Ave 911,688000,2+1,2
263,263,390 Cherry St 708,638000,1+1,1
264,264,295 Adelaide St 1013,769000,1+1,2
265,265,89 Mccaul St 515,599888,2,1
266,266,260 Merton St 901,819800,2,2
267,267,458 Richmond St 1303,899900,1+1,1
268,268,36 Forest Manor Rd 624,819000,2,2
269,269,8 The Esplanade 1312,699000,1+1,2
270,270,20 Bruyeres Mews,648888,1+1,1
271,271,29 Queens Quay 616,1680000,2+1,3
272,272,20 Scrivener Sq 716,1150000,1,2
273,273,720 Spadina Ave 801,418000,1,1
274,274,1005 King St 701,799900,2+1,2
275,275,115 Blue Jays Way 610,750000,1+1,1
276,276,38 Monte Kwinter Crt 901,539900,1,1
277,277,46 Skye Valley Dr,1699000,2+3,3
278,278,13 Woodend Dr,1549000,3+2,2
279,279,70 Clare Ave,499900,2,1
280,280,1 Kaine Hill Dr,1699900,3+1,4
281,281,565 Highpoint Ave,749000,3+1,2
282,282,1182 Hwy 6,800000,3,2
283,283,1186 Hwy 6,4400000,0,3
284,284,1193 Bobshire Rd,1800000,0,0
285,285,10783 County 2 Rd,550000,2,1
286,286,54 Collingwood St,499900,3,2
287,287,130 Rochefort St,799800,3,3
288,288,28 Clough Cres,749900,3,3
289,289,15 Parkview Cres,509000,3,2
290,290,34 Brigade Dr,849900,3,2
291,291,17 Sunnyside Dr,675000,2+1,1
292,292,91 French Dr,1400000,4,2
293,293,277 Meadowview Rd,999000,3,3
294,294,1024 Maria St,549900,2,1
295,295,150 Carroll St,699900,2,1
296,296,52 Thomas St,489900,3,1
297,297,1107 Mersea Road 7 Rd,1500000,3+3,4
298,298,10508 108 St,459000,3+1,2
299,299,8501 Donaldson Rd,1795000,6,4
300,300,638 Attenborough Terr,995000,2,2
301,301,2446 Overton Dr,1249000,3+2,4
302,302,39 Pentonville Rd,1178888,3+1,4
303,303,1363 Seaview Dr,799000,3,1
304,304,9 Severin St,1699900,4+2,4
305,305,3904 Swiftdale Dr,1599900,4,4
306,306,67 Mcmurchy Ave,999000,3+2,2
307,307,3271 Larry Cres,1998000,4,4
308,308,5261 Palmetto Pl,1299900,3,4
309,309,28 Algonquin Ave,2288000,4+2,6
310,310,3147 Robert Brown Blvd,1680000,4+1,4
311,311,523 Valley Dr,1250000,2+3,3
312,312,2627 Council Ring Rd,1388888,3+2,4
313,313,18 Grapevine Rd,1199000,3,4
314,314,8 Outlook Ave,1299000,3+2,4
315,315,54 Magdalene Cres,899999,3+1,3
316,316,59 Kenpark Ave,1995000,6+3,6
317,317,185 Margaret Dr,1399000,3,3
318,318,3254 Bloomfield Dr,1499000,4+2,5
319,319,195 Bowie Ave,1038888,3,2
320,320,110 Brisdale Dr,1499999,4+2,4
321,321,10 Rainforest Dr,1449900,3+3,5
322,322,29 Cedar Dr,2649000,2+1,4
323,323,23 Topeka Rd,999999,3+2,3
324,324,60 Forsyth Cres,1399900,4,4
325,325,75 Batiste Tr,899900,3,3
326,326,136 Edenbrook Hill,1299000,3+2,4
327,327,27 Block Rd,1249000,4,3
328,328,124 Poplar Ave,899000,4,2
329,329,184 Churchill Rd,849000,4,2
330,330,608 Bennett Crt,799900,3,2
331,331,23 Terrastone Crt,1199000,3+1,4
332,332,51 Hiberton Cres,1499900,4,4
333,333,4781 Colombo Cres,1099000,3+1,4
334,334,64 Scott St,1399900,4+2,4
335,335,27 Cirillo St,1699900,4,4
336,336,1332 Outlook Terr,1825000,4+1,4
337,337,3 Yellow Pine Rd,1899000,5+2,5
338,338,21 Speckled Alder St,1599999,4,4
339,339,11 Split Maple Lane,1750000,4+1,4
340,340,2111 Dunmore Ave,1199900,3,3
341,341,633 Arbor Rd,1798000,3+3,3
342,342,540 Caverhill Cres,1199900,3,3
343,343,885 Farmstead Dr,1700000,4+2,4
344,344,921 Dice Way,1699888,3,3
345,345,77 Eastview Gate,1199900,3+2,4
346,346,79 Alaskan Summit Crt,1049000,4,4
347,347,1478 Sandgate Cres,799000,2+2,2
348,348,3 Worth Ave,1499900,4+2,4
349,349,14 Thirty-Eight St,1750000,3,1
350,350,2912 Lakeshore Rd,885000,3+3,2
351,351,137 Pringle Dr,699900,3,3
352,352,35 Browning Tr,699900,3+1,2
353,353,43 D'ambrosio Dr,699900,3+1,2
354,354,17 Sandalwood Crt,1425000,3+1,4
355,355,11 Caribbean Dr,710000,3+2,3
356,356,91 Coughlin Rd 37,699000,3,2
357,357,90 Elgin St,474900,3,1
358,358,3 Wallwins Way,799000,2+1,2
359,359,54 Haskins Cres,799000,3,3
360,360,2796 Purvis St,1199900,3,4
361,361,328 Walter Dr,829000,3+1,1
362,362,26 Camrose Dr,898000,4,4
363,363,27 Savoy Cres,1799900,4,5
364,364,24 Marchwood Cres,1098800,3,3
365,365,1 Via Campanile,2639000,4+3,5
366,366,275 Pefferlaw Rd,499000,2,1
367,367,1903 Forest Valley Dr,1860000,4,3
368,368,16 Northumberland Terr,2699000,5,5
369,369,256 Melville Ave,1588800,4,4
370,370,25410 Maple Beach Rd,1597000,3,2
371,371,22 Cedar Cres,1350000,5,4
372,372,32 Forestwood St,999000,3+1,4
373,373,146 Howard Rd,1890000,3+1,2
374,374,5556 Vivian Rd,2300000,4,4
375,375,5 Coral Creek Cres,975000,3+1,3
376,376,50 Charles Cooper Crt,5999999,4+2,5
377,377,15 Waterstone Way,899900,3+1,4
378,378,16 Eaton Park Lane 5,999000,3+1,3
379,379,83 Mantz Cres,899900,3,4
380,380,87 Hurst Dr,1079888,4+2,5
381,381,1901 Poppy Lane,888000,4+1,3
382,382,1893 Rosebank Rd,1398800,5+3,5
383,383,29 Sarah Ashbridge Ave,2389999,3+2,4
384,384,32 Macmillan Ave,849900,3+1,4
385,385,686 Brasswinds Tr,849900,3,3
386,386,45 Cheetah Cres,949000,3,3
387,387,59 Sagewood Ave,849900,3,3
388,388,22 Teresa Dr,1049000,4+1,4
389,389,91 Glencrest Blvd,1649900,4+2,4
390,390,1418 Colmar Ave,799900,3,2
391,391,257 Overbank Dr,600000,3,3
392,392,103 Sadlee Cove Cres,899000,3,3
393,393,36 Sudbury Hall Dr,949000,3+1,4
394,394,7 Aspendale Dr,899900,3+1,2
395,395,5 Fairway Dr,699000,2,2
396,396,9 Fitzgerald Mews,1189000,2+1,2
397,397,13 Orchardview Blvd,649900,3+1,2
398,398,40 Dalebrooke Cres,999000,3,3
399,399,11 Elder St,1699000,3+1,2
400,400,259 Robina Ave,999998,4,1
401,401,1 Fallowfeild Dr,699000,3,3
402,402,261 Skinner Rd 18,549900,1,1
403,403,112 Union St B202,499900,1,1
404,404,358 Waterloo Ave 301,499900,2+1,2
405,405,151 Gateshead Cres 11,549900,3,2
406,406,686 Andrew Malcolm Dr,369000,3,2
407,407,61 Markbrook Lane 1806,499000,2+1,2
408,408,1552 Kerns Rd 6,749000,3,3
409,409,1070 Sheppard Ave 312,569000,1+1,1
410,410,385 Prince Of Wales Dr 3412,469900,0,1
411,411,35 Watergarden Dr 1017,629900,1,1
412,412,806 Stainton Dr 34H,969000,4,3
413,413,4235 Sherwoodtowne Blvd 1209,539900,1,1
414,414,1183 Dufferin St 103,985000,2,3
415,415,20 Shore Breeze Dr 1605,699900,1+1,1
416,416,3025 The Credit Woodlands Dr 414,599900,4,2
417,417,15 London Green Crt 509,458800,3,2
418,418,100 Burloak Dr 1411,929000,2+1,2
419,419,70 Absolute Ave 2310,499000,2,1
420,420,12 Seedhouse Rd,1299000,4+1,4
421,421,816 Lansdowne Ave 426,499900,1,1
422,422,117 Thomas Fisher Dr,1599999,3,3
423,423,9191 Yonge St Sw607,550000,1,1
424,424,175 Millway Ave 4805,628000,1+1,2
425,425,370 Red Maple Rd 87,999000,3,3
426,426,50 Brian Harrison Way 3009,599900,3,2
427,427,1760 Simcoe St 66,499000,3,3
428,428,2 Forest Hill Rd 103,3034900,2+1,3
429,429,15 Stafford St Ph07,899000,1+1,2
430,430,39 Queens Quay 535,924999,1+1,1
431,431,75 Queens Wharf Rd 2812,635000,1,1
432,432,460 Adelaide St 1730,730000,1+1,1
433,433,4005 Don Mills Rd 316,699000,2+1,2
434,434,5500 Yonge St 1201,599990,1,1
435,435,60 Byng Ave 2607,599000,1+1,1
436,436,270 Wellington St 418,569000,1,1
437,437,1700 Eglinton Ave 513,639900,2,2
438,438,8 The Esplanade Ave 2205,989000,1+1,2
439,439,135 Pears Ave Th,3495000,3,4
440,440,210 Grandview Way,699999,1+1,2
441,441,100 Harbour St 5004,899500,2,2
442,442,576 Front St 428E,569900,1,1
443,443,1 Bloor St 402,1088000,2,2
444,444,125 Western Battery Rd 715,899900,2+1,2
445,445,32 Bayview Dr,899000,3+2,2
446,446,940 Copper Leaf Cres,950000,3+1,3
447,447,41 Fourth St,1049000,8,4
448,448,1058 Garner Rd,2495000,3+1,2
449,449,115 Woodworth Dr,1080000,5,2
450,450,929 Savoline Blvd,999000,3+1,4
451,451,3073 George Savage Ave,1499000,3,4
452,452,1251 Hillhurst Rd,2999000,3+1,3
453,453,27 Bainsville Circ,1899900,5,4
454,454,274 Gooding Cres,1099000,4,3
455,455,38 Devonsleigh Blvd,1788000,4+2,6
