,Unnamed: 0,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below,monthly_change,monthly_change_per,days_on_mar
106,106,barrie,2013,February,88,195212.0,190250.0,-2.54,35975.0,-15.9,18
107,107,barrie,2013,January,63,233537.0,226225.0,-3.13,3688.0,1.65,36
108,108,barrie,2012,December,54,229800.0,222537.0,-3.16,4150.0,-1.83,50
109,109,barrie,2012,November,91,231487.0,226687.0,-2.07,1938.0,-0.84,43
110,110,barrie,2012,October,106,235736.0,228625.0,-3.01,6452.0,2.9,43
111,111,barrie,2012,September,97,228085.0,222173.0,-2.59,9420.0,-4.06,41
112,112,barrie,2012,August,110,239925.0,231593.0,-3.47,9369.0,-3.88,53
113,113,barrie,2012,July,126,248450.0,240962.0,-3.01,15587.0,6.91,58
114,114,barrie,2012,June,145,230575.0,225375.0,-2.25,2000.0,0.89,50
115,115,barrie,2012,May,175,226400.0,223375.0,-1.33,534.0,-0.23,25
116,116,barrie,2012,April,151,228409.0,223909.0,-1.97,33284.0,17.46,34
117,117,barrie,2012,March,121,193075.0,190625.0,-1.26,41337.0,-17.82,30
118,118,barrie,2012,February,113,237286.0,231962.0,-2.24,8600.0,-3.57,31
119,119,barrie,2012,January,68,247737.0,240562.0,-2.89,240562.0,0.0,63
120,120,brampton,2021,December,611,846939.0,954250.0,12.67,49175.0,5.43,5
121,121,brampton,2021,November,809,829249.0,905075.0,9.14,30450.0,3.48,6
122,122,brampton,2021,October,850,816703.0,874625.0,7.09,45376.0,5.47,7
123,123,brampton,2021,September,862,785950.0,829249.0,5.5,8124.0,0.98,7
124,124,brampton,2021,August,869,787203.0,821125.0,4.3,19750.0,2.46,9
125,125,brampton,2021,July,916,788075.0,801375.0,1.68,12625.0,1.6,10
126,126,brampton,2021,June,1042,760972.0,788750.0,3.65,8500.0,1.08,9
127,127,brampton,2021,May,1179,748450.0,780250.0,4.24,4500.0,-0.57,9
128,128,brampton,2021,April,1271,745925.0,784750.0,5.2,19375.0,-2.4,9
129,129,brampton,2021,March,1546,754685.0,804125.0,6.55,15063.0,1.9,6
130,130,brampton,2021,February,1162,729699.0,789062.0,8.13,26562.0,3.48,6
131,131,brampton,2021,January,750,718937.0,762500.0,6.05,66188.0,9.5,11
132,132,brampton,2020,December,673,682446.0,696312.0,2.03,18040.0,2.65,10
133,133,brampton,2020,November,880,674437.0,678272.0,0.56,1403.0,-0.2,11
134,134,brampton,2020,October,1013,678600.0,679675.0,0.15,12544.0,1.88,11
135,135,brampton,2020,September,1057,660446.0,667131.0,1.01,13494.0,-1.98,11
136,136,brampton,2020,August,1146,676950.0,680625.0,0.54,10125.0,1.51,12
137,137,brampton,2020,July,1106,662425.0,670500.0,1.21,11888.0,1.8,10
138,138,brampton,2020,June,861,661637.0,658612.0,-0.45,17812.0,2.77,10
139,139,brampton,2020,May,461,649562.0,640800.0,-1.34,11488.0,1.82,17
140,140,brampton,2020,April,222,634037.0,629312.0,-0.74,32038.0,-4.84,17
141,141,brampton,2020,March,704,633950.0,661350.0,4.32,9325.0,1.43,5
142,142,brampton,2020,February,765,632200.0,652025.0,3.13,19400.0,3.06,6
143,143,brampton,2020,January,485,627812.0,632625.0,0.76,29375.0,4.86,11
144,144,brampton,2019,December,280,601710.0,603250.0,0.25,625.0,-0.1,14
145,145,brampton,2019,November,619,607537.0,603875.0,-0.6,6513.0,1.09,16
146,146,brampton,2019,October,705,603437.0,597362.0,-1.0,6956.0,1.17,15
147,147,brampton,2019,September,709,590784.0,590406.0,-0.06,2219.0,0.37,16
148,148,brampton,2019,August,756,589450.0,588187.0,-0.21,1775.0,0.3,18
149,149,brampton,2019,July,791,587937.0,586412.0,-0.25,5513.0,-0.93,14
150,150,brampton,2019,June,837,598893.0,591925.0,-1.16,6438.0,1.09,13
151,151,brampton,2019,May,990,587062.0,585487.0,-0.26,5987.0,1.03,13
152,152,brampton,2019,April,806,579925.0,579500.0,-0.07,8763.0,1.53,13
153,153,brampton,2019,March,700,575887.0,570737.0,-0.89,10425.0,1.86,12
154,154,brampton,2019,February,453,567787.0,560312.0,-1.31,7150.0,-1.25,15
155,155,brampton,2019,January,454,573047.0,567462.0,-0.97,19275.0,3.51,19
156,156,brampton,2018,December,335,561437.0,548187.0,-2.36,11125.0,-1.98,21
157,157,brampton,2018,November,561,568437.0,559312.0,-1.6,13000.0,2.37,20
158,158,brampton,2018,October,612,558425.0,546312.0,-2.16,3563.0,-0.64,21
159,159,brampton,2018,September,562,555959.0,549875.0,-1.09,5375.0,-0.96,16
160,160,brampton,2018,August,643,564837.0,555250.0,-1.69,9250.0,-1.63,17
161,161,brampton,2018,July,580,575949.0,564500.0,-1.98,8375.0,1.5,18
162,162,brampton,2018,June,690,562236.0,556125.0,-1.08,1531.0,-0.27,16
163,163,brampton,2018,May,847,566750.0,557656.0,-1.6,2094.0,0.37,16
164,164,brampton,2018,April,805,561450.0,555562.0,-1.04,3403.0,0.61,13
165,165,brampton,2018,March,675,559900.0,552159.0,-1.38,2716.0,-0.48,12
166,166,brampton,2018,February,457,564924.0,554875.0,-1.77,20813.0,3.89,15
167,167,brampton,2018,January,352,544758.0,534062.0,-1.96,2937.0,0.55,26
168,168,brampton,2017,December,449,540412.0,531125.0,-1.71,8875.0,1.69,20
169,169,brampton,2017,November,677,535212.0,522250.0,-2.42,125.0,0.02,17
170,170,brampton,2017,October,532,533937.0,522125.0,-2.21,1860.0,-0.35,22
171,171,brampton,2017,September,476,536175.0,523985.0,-2.27,2998.0,0.57,17
172,172,brampton,2017,August,477,528037.0,520987.0,-1.33,6513.0,-1.23,22
173,173,brampton,2017,July,407,529900.0,527500.0,-0.45,7562.0,-1.41,18
174,174,brampton,2017,June,602,531825.0,535062.0,0.6,23813.0,-4.26,15
175,175,brampton,2017,May,853,539400.0,558875.0,3.61,33750.0,-5.69,10
176,176,brampton,2017,April,1130,542625.0,592625.0,9.21,9813.0,1.68,6
177,177,brampton,2017,March,1052,532371.0,582812.0,9.47,31562.0,5.72,5
178,178,brampton,2017,February,816,517724.0,551250.0,6.47,35025.0,6.78,7
179,179,brampton,2017,January,518,502424.0,516225.0,2.74,42100.0,8.87,8
180,180,brampton,2016,December,530,474575.0,474125.0,-0.09,10875.0,-2.24,14
181,181,brampton,2016,November,704,480924.0,485000.0,0.84,8938.0,1.87,11
182,182,brampton,2016,October,786,466700.0,476062.0,2.0,5375.0,1.14,11
183,183,brampton,2016,September,791,462275.0,470687.0,1.81,2187.0,0.46,13
184,184,brampton,2016,August,971,456425.0,468500.0,2.64,9875.0,2.15,9
185,185,brampton,2016,July,812,441550.0,458625.0,3.86,6938.0,1.53,11
186,186,brampton,2016,June,1203,434000.0,451687.0,4.07,6937.0,1.55,10
187,187,brampton,2016,May,1305,436950.0,444750.0,1.78,16750.0,3.91,11
188,188,brampton,2016,April,1172,421700.0,428000.0,1.49,8000.0,1.9,10
189,189,brampton,2016,March,1067,416313.0,420000.0,0.88,6313.0,1.52,12
190,190,brampton,2016,February,769,412850.0,413687.0,0.2,21937.0,5.59,12
191,191,brampton,2016,January,553,395537.0,391750.0,-0.95,1063.0,0.27,15
192,192,brampton,2015,December,463,394700.0,390687.0,-1.01,1812.0,-0.46,18
193,193,brampton,2015,November,667,397809.0,392499.0,-1.33,13874.0,3.66,16
194,194,brampton,2015,October,772,383050.0,378625.0,-1.15,3312.0,-0.86,16
195,195,brampton,2015,September,765,385237.0,381937.0,-0.85,5187.0,1.37,16
196,196,brampton,2015,August,847,378062.0,376750.0,-0.34,888.0,0.23,16
197,197,brampton,2015,July,1010,378645.0,375862.0,-0.73,2388.0,-0.63,15
198,198,brampton,2015,June,1088,382400.0,378250.0,-1.08,2625.0,-0.68,15
199,199,brampton,2015,May,1154,385275.0,380875.0,-1.14,9625.0,2.59,14
200,200,brampton,2015,April,1099,376712.0,371250.0,-1.44,5375.0,1.46,13
