,Price,Beds,Baths,Postal_Code,City,Latitude,Longitude,Cluster
2328,2899000,10,5,M1M 0E1,Scarborough,43.7247,-79.2312,1
2329,660000,2,2,L4M 0J2,Barrie,44.4001,-79.6663,1
2332,899900,3,3,L6R 0C1,Brampton,43.7592,-79.7605,2
2333,2599900,4,5,M4E 1H8,Toronto,43.6784,-79.2941,3
2334,2588000,4,4,M2L 1E4,North York ,43.7547,-79.3764,1
2336,570000,2,1,K0L 1Y0,Peterborough County,44.7767,-77.9687,1
2337,650000,2,2,L9W 7P9,Orangeville,43.9702,-80.016,1
2338,589000,3,2,M9V 5C7,Etobicoke,43.7432,-79.5876,1
2339,1508990,2,2,M4T 1X3,Toronto,43.6899,-79.3853,2
2340,1488990,2,2,M4T 1X3,Toronto,43.6899,-79.3853,1
2341,1198000,5,2,L2N 2T1,St. Catharines ,43.1923,-79.2559,2
2342,850000,4,2,N1R 2J2,Cambridge,43.3666,-80.2239,2
2343,599900,4,2,N7V 4C5,Sarnia,42.9998,-82.3926,0
2345,899000,6,6,L2R 2P3,St. Catharines ,43.1419,-79.2966,1
2347,1299000,6,3,L9C 3R9,Hamilton,43.2313,-79.9049,1
2348,2000000,7,6,P3E 1X3,Greater Sudbury ,46.2676,-80.9063,1
2349,649000,3,4,K2J 4E6,Nepean,45.2691,-75.7518,0
2351,2600000,9,4,M9V 1A4,Etobicoke,43.7432,-79.5876,0
2352,1750000,4,3,L5M 7T6,Mississauga,43.5637,-79.7202,0
2354,879999,3,3,L4N 3Z2,Barrie,44.3572,-79.6929,3
2355,1399000,4,4,M6G 1Z4,Toronto,43.6683,-79.4205,2
2356,1688000,5,4,L4L 1L2,Woodbridge,43.8064,-79.5995,2
2357,2999800,3,3,K7K 5K8,Kingston,44.2569,-76.4717,2
2358,2380000,5,7,K8P 5G7,Belleville,44.1665,-77.4037,2
2360,4555000,5,4,L4L 1X3,Woodbridge,43.8064,-79.5995,0
2361,799000,4,3,M4C 1J9,East York ,43.6913,-79.3116,1
2362,1250000,4,4,M1J 3G4,Scarborough,43.7464,-79.2323,3
2363,1199950,4,3,M4J 1G3,Toronto,43.6872,-79.3368,2
2364,1448888,4,4,L1G 7Y6,Oshawa,43.9233,-78.8684,0
2365,998900,5,2,M1K 2P8,Scarborough,43.7298,-79.2639,2
2367,1688000,3,5,M5A 2A6,Toronto,43.6555,-79.3626,2
2368,9495000,5,6,M2L 0A3,North York ,43.7547,-79.3764,2
2369,2288800,10,4,M5T 2G4,Toronto,43.6541,-79.3978,2
2371,525000,1,1,M9A 4Y1,Etobicoke,43.6662,-79.5282,2
2375,435000,3,1,M2N 0G2,Willowdale,43.7673,-79.4111,3
2376,489900,2,1,M1P 4N4,Scarborough,43.7612,-79.2707,1
2377,1150000,2,2,M4W 2H2,Toronto,43.6827,-79.373,0
2378,1175000,3,2,L3Y 4V9,Newmarket,44.0565,-79.4555,3
2380,690000,2,1,M4P 2C9,Toronto,43.7135,-79.3887,2
