,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
1499,1249900,3,1,24 Morland Rd,M6S,Toronto,43.6512,-79.4828,2
1500,1399000,3,1,2044 Seabrook Dr,L6L 2P6,Oakville,43.4032,-79.7186,0
1501,1299000,3,3,4031 Sixth Line,L6H 7B8,Oakville,43.4881,-79.7098,3
1502,2800000,4,3,1476 Duncan Rd,L6J 6X8,Oakville,43.4757,-79.6591,0
1506,1788000,4,3,10 Warren Bradley St,L6C 2R5,Markham,43.9045,-79.3392,3
1507,7995000,4,6,15 Provence Crt,L4S 1N5,Richmond Hill ,43.8985,-79.4143,1
1511,999999,3,3,458 William Dunn Cres,L3X 2T1,Newmarket,44.0433,-79.4912,2
1512,988888,4,4,137 Spruce St,M5A 2J1,Toronto,43.6555,-79.3626,2
1516,999000,3,3,54 Bettina Pl,L1R 2X0,Whitby,43.9215,-78.9412,0
1517,799990,4,2,792 Eastbourne Ave,L1G 6L4,Oshawa,43.9233,-78.8684,1
1518,799900,2,2,40 Hiltz Ave,M4L 1C2,Toronto,43.6693,-79.3155,2
1519,1399000,2,1,41 Neilson Ave,M1M 1C7,Scarborough,43.7247,-79.2312,1
1520,899000,4,2,21 Fintona Ave,M1E 3C2,Scarborough,43.7678,-79.1866,3
1521,1099000,6,4,100 Erickson Dr,L1R 1H2,Whitby,43.9215,-78.9412,3
1522,349000,2,1,2 Simcoe Crt,L1B 1A1,Bowmanville,43.9235,-78.5457,3
1523,1799900,5,2,130 Duvernet Ave,M4L 1T9,Toronto,43.6693,-79.3155,1
1524,1999000,5,5,446 Toynevale Rd,L1W 2G9,Pickering,43.8197,-79.0803,0
1525,2849000,6,5,42 Davies Cres,M4J 2P4,Toronto,43.6872,-79.3368,3
1526,899000,4,3,14 Mayfield Cres,L1N 6A3,Whitby,43.8721,-78.9273,1
1527,1688888,5,5,3180 Bayview Ave 23,M2N 4S5,Willowdale,43.7673,-79.4111,3
1528,1849000,3,2,53 Heddington Ave,M5N 1B1,Toronto,43.7113,-79.4195,3
1530,999900,7,3,293 Glenforest Rd,M4N 1X2,Toronto,43.7301,-79.3935,1
1532,1180000,5,3,26 Greyhound Dr,M2H 1S9,North York ,43.8015,-79.3577,2
1533,6800000,6,6,36 Glenorchy Rd,M3C 2N2,Don Mills ,43.7334,-79.3329,1
1534,589000,2,2,25 Concession St 212,N1R 2J2,Cambridge,43.3666,-80.2239,3
1535,699999,3,4,166 Huron St 35,L1G 1B5,Oshawa,43.9233,-78.8684,2
1537,699000,4,2,2395 Bromsgrove Rd 19,L5J 1L8,Mississauga,43.5102,-79.6296,0
1538,529900,1,1,50 Via Rosedale 110,L6R 2W8,Brampton,43.7592,-79.7605,2
1539,479000,1,1,541 Blackthorn Ave 307,M6E 4Y2,York,43.6889,-79.4507,0
1540,539900,1,1,61 Heintzman St 904,M6P,Toronto,43.6605,-79.4633,2
1541,600000,1,1,2560 Eglinton Ave 1307,M6M 1T9,York,43.6934,-79.4857,0
1542,529800,2,1,2177 Burnhamthorpe Rd 1701,L5L 3N1,Mississauga,43.5373,-79.6903,2
1543,499900,1,1,4016 Kilmer Dr 112,L7M 0H6,Burlington,43.4342,-79.8701,2
1544,619900,2,1,25 Earlington Ave 119,M8X 2M6,Etobicoke,43.6518,-79.5076,3
1545,649900,2,1,7 Applewood Lane 221,M9C 5S3,Etobicoke,43.6437,-79.5767,3
1547,1375000,4,3,1 Grandview Ave 2806,M4K 1E8,Toronto,43.6803,-79.3538,3
1549,599999,3,3,189 Springhead Gdns 9,L4C 5E2,Richmond Hill ,43.8669,-79.4414,1
1550,799000,2,2,9 Stollery Pond Cres 308,L6C 1P8,Markham,43.9045,-79.3392,2
1551,499000,2,1,11611 Yonge St 715,L4S 0E9,Richmond Hill ,43.8985,-79.4143,2
1553,899999,3,3,171 Roy Grove Way,L3P 7Y6,Markham,43.8769,-79.2686,2
1555,399900,3,1,1010 Glen St 102,L1J 3T9,Oshawa,43.8852,-78.8771,2
1556,499000,2,1,124 Aspen Springs Dr 309,L1C 0C6,Bowmanville,43.9714,-78.7095,2
1557,499000,3,2,3 Greystone Walk Dr 920,M1K 5J3,Scarborough,43.7298,-79.2639,2
1558,849000,2,2,8 Eglinton Ave 3605,M9R 3V7,Etobicoke,43.6898,-79.5582,0
1560,599900,2,2,52 Forest Manor Rd 420,M2J 1M4,North York ,43.7801,-79.3479,2
1562,700000,1,1,1001 Bay St 3109,M5S 2S3,Toronto,43.6629,-79.3987,1
1563,599000,1,1,219 Fort York Blvd 321,M5V 4A1,Toronto,43.6404,-79.3995,2
1565,629000,2,1,152 St Patrick St 1111,M5T 2W5,Toronto,43.6541,-79.3978,2
1567,769000,2,1,30 Western Battery Rd 340,M6K 3R9,Toronto,43.6383,-79.4301,3
1569,799000,2,2,8 Charlotte St 1404,M5V 1K1,Toronto,43.6404,-79.3995,2
1570,1299000,2,2,6 Jackes Ave 503,M4T 1X3,Toronto,43.6899,-79.3853,3
1571,899000,3,2,75 York Mills Rd 506,M2P 2E3,North York ,43.75,-79.3978,2
